http://linked.data.gov.au/def/cofog-a/0712#Other medical products#http://linked.data.gov.au/def/cofog/0712#Other medical products  (IS)#0
http://linked.data.gov.au/def/cofog-a/072#Outpatient services#http://linked.data.gov.au/def/cofog/072#Outpatient services#0
http://linked.data.gov.au/def/cofog-a/0132#Overall planning and statistical services#http://linked.data.gov.au/def/cofog/0132#Overall planning and statistical services  (CS)#0
http://linked.data.gov.au/def/cofog-a/0724#Paramedical services#http://linked.data.gov.au/def/cofog/0724#Paramedical services  (IS)#0
http://linked.data.gov.au/def/cofog-a/0752#Patient transport#http://linked.data.gov.au/def/cofog/0452#Water transport  (CS)#4
http://linked.data.gov.au/def/cofog-a/0432#Petroleum and natural gas#http://linked.data.gov.au/def/cofog/0432#Petroleum and natural gas  (CS)#0
http://linked.data.gov.au/def/cofog-a/0711#Pharmaceutical products#http://linked.data.gov.au/def/cofog/0711#Pharmaceutical products  (IS)#0
http://linked.data.gov.au/def/cofog-a/117#Pipeline and other transport#http://linked.data.gov.au/def/cofog/0455#Pipeline and other transport  (CS)#0
http://linked.data.gov.au/def/cofog-a/1171#Pipeline and other transport#http://linked.data.gov.au/def/cofog/0455#Pipeline and other transport  (CS)#0
http://linked.data.gov.au/def/cofog-a/0311#Police services#http://linked.data.gov.au/def/cofog/031#Police services#0
http://linked.data.gov.au/def/cofog-a/0311#Police services#http://linked.data.gov.au/def/cofog/0310#Police services  (CS)#0
http://linked.data.gov.au/def/cofog-a/031#Police services#http://linked.data.gov.au/def/cofog/031#Police services#0
http://linked.data.gov.au/def/cofog-a/031#Police services#http://linked.data.gov.au/def/cofog/0310#Police services  (CS)#0
http://linked.data.gov.au/def/cofog-a/053#Pollution abatement#http://linked.data.gov.au/def/cofog/053#Pollution abatement#0
http://linked.data.gov.au/def/cofog-a/053#Pollution abatement#http://linked.data.gov.au/def/cofog/0530#Pollution abatement  (CS)#0
http://linked.data.gov.au/def/cofog-a/0531#Pollution abatement#http://linked.data.gov.au/def/cofog/053#Pollution abatement#0
http://linked.data.gov.au/def/cofog-a/0531#Pollution abatement#http://linked.data.gov.au/def/cofog/0530#Pollution abatement  (CS)#0
http://linked.data.gov.au/def/cofog-a/091#Pre-primary and primary education#http://linked.data.gov.au/def/cofog/091#Pre-primary and primary education#0
http://linked.data.gov.au/def/cofog-a/0341#Prisons#http://linked.data.gov.au/def/cofog/034#Prisons#0
http://linked.data.gov.au/def/cofog-a/0341#Prisons#http://linked.data.gov.au/def/cofog/0340#Prisons  (CS)#0
http://linked.data.gov.au/def/cofog-a/034#Prisons#http://linked.data.gov.au/def/cofog/034#Prisons#0
http://linked.data.gov.au/def/cofog-a/034#Prisons#http://linked.data.gov.au/def/cofog/0340#Prisons  (CS)#0
http://linked.data.gov.au/def/cofog-a/054#Protection of biodiversity and landscape#http://linked.data.gov.au/def/cofog/054#Protection of biodiversity and landscape#0
http://linked.data.gov.au/def/cofog-a/054#Protection of biodiversity and landscape#http://linked.data.gov.au/def/cofog/0540#Protection of biodiversity and landscape  (CS)#0
http://linked.data.gov.au/def/cofog-a/0541#Protection of biodiversity and landscape#http://linked.data.gov.au/def/cofog/054#Protection of biodiversity and landscape#0
http://linked.data.gov.au/def/cofog-a/0541#Protection of biodiversity and landscape#http://linked.data.gov.au/def/cofog/0540#Protection of biodiversity and landscape  (CS)#0
http://linked.data.gov.au/def/cofog-a/03#Public Order And Safety#http://linked.data.gov.au/def/cofog/03#Public order and safety#4
http://linked.data.gov.au/def/cofog-a/0161#Public debt transactions#http://linked.data.gov.au/def/cofog/017#Public debt transactions#0
http://linked.data.gov.au/def/cofog-a/0161#Public debt transactions#http://linked.data.gov.au/def/cofog/0170#Public debt transactions  (CS)#0
http://linked.data.gov.au/def/cofog-a/016#Public debt transactions#http://linked.data.gov.au/def/cofog/017#Public debt transactions#0
http://linked.data.gov.au/def/cofog-a/016#Public debt transactions#http://linked.data.gov.au/def/cofog/0170#Public debt transactions  (CS)#0
http://linked.data.gov.au/def/cofog-a/076#Public health services#http://linked.data.gov.au/def/cofog/074#Public health services#0
http://linked.data.gov.au/def/cofog-a/076#Public health services#http://linked.data.gov.au/def/cofog/0740#Public health services  (IS)#0
http://linked.data.gov.au/def/cofog-a/0761#Public health services#http://linked.data.gov.au/def/cofog/074#Public health services#0
http://linked.data.gov.au/def/cofog-a/0761#Public health services#http://linked.data.gov.au/def/cofog/0740#Public health services  (IS)#0
http://linked.data.gov.au/def/cofog-a/114#Railway transport#http://linked.data.gov.au/def/cofog/0453#Railway transport  (CS)#0
http://linked.data.gov.au/def/cofog-a/08#Recreation, Culture and Religion#http://linked.data.gov.au/def/cofog/08#Recreation, culture and religion#0
http://linked.data.gov.au/def/cofog-a/08#Recreation, Culture and Religion#http://linked.data.gov.au/def/cofog/085#R&D Recreation, culture and religion#4
http://linked.data.gov.au/def/cofog-a/08#Recreation, Culture and Religion#http://linked.data.gov.au/def/cofog/0850#R&D Recreation, culture and religion  (CS)#4
http://linked.data.gov.au/def/cofog-a/0811#Recreational and sporting services#http://linked.data.gov.au/def/cofog/081#Recreational and sporting services#0
http://linked.data.gov.au/def/cofog-a/0811#Recreational and sporting services#http://linked.data.gov.au/def/cofog/0810#Recreational and sporting services  (IS)#0
http://linked.data.gov.au/def/cofog-a/081#Recreational and sporting services#http://linked.data.gov.au/def/cofog/081#Recreational and sporting services#0
http://linked.data.gov.au/def/cofog-a/081#Recreational and sporting services#http://linked.data.gov.au/def/cofog/0810#Recreational and sporting services  (IS)#0
http://linked.data.gov.au/def/cofog-a/0841#Religious and other community services#http://linked.data.gov.au/def/cofog/084#Religious and other community services#0
http://linked.data.gov.au/def/cofog-a/0841#Religious and other community services#http://linked.data.gov.au/def/cofog/0840#Religious and other community services  (CS)#0
http://linked.data.gov.au/def/cofog-a/084#Religious and other community services#http://linked.data.gov.au/def/cofog/084#Religious and other community services#0
http://linked.data.gov.au/def/cofog-a/084#Religious and other community services#http://linked.data.gov.au/def/cofog/0840#Religious and other community services  (CS)#0
http://linked.data.gov.au/def/cofog-a/111#Road transport#http://linked.data.gov.au/def/cofog/0451#Road transport  (CS)#0
http://linked.data.gov.au/def/cofog-a/111#Road transport#http://linked.data.gov.au/def/cofog/0485#R&D Transport  (CS)#2
